"","ID","name","family"
"498","MA1514.1","KLF17","Three-zinc finger Kruppel-related factors"
"499","MA1515.1","KLF2","Three-zinc finger Kruppel-related factors"
"500","MA1516.1","KLF3","Three-zinc finger Kruppel-related factors"
"501","MA0039.4","KLF4","Three-zinc finger Kruppel-related factors"
"502","MA0599.1","KLF5","Three-zinc finger Krüppel-related factors"
"503","MA1517.1","KLF6","Three-zinc finger Kruppel-related factors"
"504","MA1107.2","KLF9","Three-zinc finger Kruppel-related factors"
"505","MA0618.1","LBX1","NK-related factors"
"506","MA0699.1","LBX2","NK-related factors"
"507","MA0768.1","LEF1","TCF-7-related factors"
"508","MA1518.1","LHX1","HD-LIM factors"
"509","MA0700.2","LHX2","HD-LIM factors"
"510","MA0135.1","Lhx3","HD-LIM factors"
"511","MA0704.1","Lhx4","HD-LIM factors"
"512","MA1519.1","LHX5","HD-LIM factors"
"513","MA0658.1","LHX6","HD-LIM factors"
"514","MA0705.1","Lhx8","HD-LIM factors"
"515","MA0701.2","LHX9","HD-LIM factors"
"516","MA0619.1","LIN54",""
"517","MA0702.2","LMX1A","HD-LIM factors"
"518","MA0703.2","LMX1B","HD-LIM factors"
"519","MA1520.1","MAF","Maf-related factors"
"520","MA0501.1","MAF::NFE2","Maf-related factors, Jun-related factors"
"521","MA1521.1","MAFA","Maf-related factors"
"522","MA0117.2","Mafb","Maf-related factors"
"523","MA0495.3","MAFF","Maf-related factors"
"524","MA0659.2","MAFG","Maf-related factors"
"525","MA0496.3","MAFK","Maf-related factors"
"526","MA0058.3","MAX","bHLH-ZIP factors"
"527","MA0059.1","MAX::MYC","bHLH-ZIP factors, bHLH-ZIP factors"
"528","MA1522.1","MAZ","More than 3 adjacent zinc finger factors"
"529","MA0029.1","Mecom","Factors with multiple dispersed zinc fingers"
"530","MA0052.4","MEF2A","Regulators of differentiation"
"531","MA0660.1","MEF2B","Regulators of differentiation"
"532","MA0497.1","MEF2C","Regulators of differentiation"
"533","MA0773.1","MEF2D","Regulators of differentiation"
"534","MA0498.2","MEIS1","TALE-type homeo domain factors"
"535","MA1639.1","MEIS1(var.2)","TALE-type homeo domain factors"
"536","MA0774.1","MEIS2","TALE-type homeo domain factors"
"537","MA1640.1","MEIS2(var.2)","TALE-type homeo domain factors"
"538","MA0775.1","MEIS3","TALE-type homeo domain factors"
"539","MA0661.1","MEOX1","HOX-related factors"
"540","MA0706.1","MEOX2","HOX-related factors"
"541","MA0801.1","MGA","TBX6-related factors"
"542","MA0620.3","MITF","bHLH-ZIP factors"
"543","MA0621.1","mix-a","Paired-related HD factors"
"544","MA0662.1","MIXL1","Paired-related HD factors"
"545","MA0663.1","MLX","bHLH-ZIP factors"
"546","MA0622.1","Mlxip","bHLH-ZIP factors"
"547","MA0664.1","MLXIPL","bHLH-ZIP factors"
"548","MA0825.1","MNT","bHLH-ZIP factors"
"549","MA0707.1","MNX1","HOX-related factors"
"550","MA1523.1","MSANTD3","Myb/SANT domain factors"
"551","MA0665.1","MSC","Tal-related factors"
"552","MA1524.1","MSGN1","Tal-related factors"
"553","MA0666.1","MSX1","NK-related factors"
"554","MA0708.1","MSX2","NK-related factors"
"555","MA0709.1","Msx3","NK-related factors"
"556","MA0863.1","MTF1","More than 3 adjacent zinc finger factors"
"557","MA1108.2","MXI1","bHLH-ZIP factors"
"558","MA0100.3","MYB","Myb/SANT domain factors"
"559","MA0776.1","MYBL1","Myb/SANT domain factors"
"560","MA0777.1","MYBL2","Myb/SANT domain factors"
"561","MA0147.3","MYC","bHLH-ZIP factors"
"562","MA0104.4","MYCN","bHLH-ZIP factors"
"563","MA1641.1","MYF5","MyoD / ASC-related factors"
"564","MA0667.1","MYF6","MyoD / ASC-related factors"
"565","MA0499.2","MYOD1","MyoD / ASC-related factors"
"566","MA0500.2","MYOG","MyoD / ASC-related factors"
"567","MA0056.2","MZF1","More than 3 adjacent zinc finger factors"
"568","MA0057.1","MZF1(var.2)","More than 3 adjacent zinc finger factors"
"569","MA1109.1","NEUROD1","Tal-related factors"
"570","MA0668.1","NEUROD2","Tal-related factors"
"571","MA0623.2","NEUROG1","Tal-related factors"
"572","MA0669.1","NEUROG2","Tal-related factors"
"573","MA1642.1","NEUROG2(var.2)","Tal-related factors"
"574","MA0606.1","NFAT5","NFAT-related factors"
"575","MA0624.1","NFATC1","NFAT-related factors"
"576","MA0152.1","NFATC2","NFAT-related factors"
"577","MA0625.1","NFATC3","NFAT-related factors"
"578","MA1525.1","NFATC4","NFAT-related factors"
"579","MA0841.1","NFE2","Jun-related factors"
"580","MA0089.2","NFE2L1","Jun-related factors"
"581","MA0150.2","Nfe2l2","Jun-related factors"
"582","MA0670.1","NFIA","Nuclear factor 1"
"583","MA1643.1","NFIB","Nuclear factor 1"
"584","MA0161.2","NFIC","Nuclear factor 1"
"585","MA0119.1","NFIC::TLX1","Nuclear factor 1, NK-related factors"
"586","MA1527.1","NFIC(var.2)","Nuclear factor 1"
"587","MA0025.2","NFIL3","C/EBP-related"
"588","MA0671.1","NFIX","Nuclear factor 1"
"589","MA1528.1","NFIX(var.2)","Nuclear factor 1"
"590","MA0105.4","NFKB1","NF-kappaB-related factors"
"591","MA0778.1","NFKB2","NF-kappaB-related factors"
"592","MA0060.3","NFYA","NFY"
"593","MA0502.2","NFYB",""
"594","MA1644.1","NFYC",""
"595","MA0048.2","NHLH1","Tal-related factors"
"596","MA1529.1","NHLH2","Tal-related factors"
"597","MA1645.1","NKX2-2","NK-related factors"
"598","MA0672.1","NKX2-3","NK-related factors"
"599","MA0063.2","NKX2-5","NK-related factors"
"600","MA0503.1","Nkx2-5(var.2)","NK-related factors"
"601","MA0673.1","NKX2-8","NK-related factors"
"602","MA0124.2","Nkx3-1","NK-related factors"
"603","MA0122.3","Nkx3-2","NK-related factors"
"604","MA0674.1","NKX6-1","NK-related factors"
"605","MA0675.1","NKX6-2","NK-related factors"
"606","MA1530.1","NKX6-3","NK-related factors"
"607","MA0125.1","Nobox","Paired-related HD factors"
"608","MA0710.1","NOTO","NK-related factors"
"609","MA0626.1","Npas2","PAS domain factors"
"610","MA1531.1","NR1D1","Thyroid hormone receptor-related factors (NR1)"
"611","MA1532.1","NR1D2","Thyroid hormone receptor-related factors (NR1)"
"612","MA0115.1","NR1H2::RXRA","Thyroid hormone receptor-related factors (NR1), RXR-related receptors (NR2)"
"613","MA0494.1","Nr1h3::Rxra","Thyroid hormone receptor-related factors (NR1), RXR-related receptors (NR2)"
"614","MA1110.1","NR1H4","Thyroid hormone receptor-related factors (NR1)"
"615","MA1146.1","NR1H4::RXRA","Thyroid hormone receptor-related factors (NR1), RXR-related receptors (NR2)"
"616","MA1533.1","NR1I2","Thyroid hormone receptor-related factors (NR1)"
"617","MA1534.1","NR1I3","Thyroid hormone receptor-related factors (NR1)"
"618","MA1535.1","NR2C1","RXR-related receptors (NR2)"
"619","MA0504.1","NR2C2","RXR-related receptors (NR2)"
"620","MA1536.1","NR2C2(var.2)","RXR-related receptors (NR2)"
"621","MA0676.1","Nr2e1","RXR-related receptors (NR2)"
"622","MA0164.1","Nr2e3","RXR-related receptors (NR2)"
"623","MA0017.2","NR2F1","RXR-related receptors (NR2)"
"624","MA1537.1","NR2F1(var.2)","RXR-related receptors (NR2)"
"625","MA1538.1","NR2F1(var.3)","RXR-related receptors (NR2)"
"626","MA1111.1","NR2F2","RXR-related receptors (NR2)"
"627","MA0677.1","Nr2f6","RXR-related receptors (NR2)"
"628","MA0728.1","Nr2f6(var.2)","RXR-related receptors (NR2)"
"629","MA1539.1","NR2F6(var.3)","RXR-related receptors (NR2)"
"630","MA0113.3","NR3C1","Steroid hormone receptors (NR3)"
"631","MA0727.1","NR3C2","Steroid hormone receptors (NR3)"
"632","MA1112.2","NR4A1","NGFI-B-related receptors (NR4)"
"633","MA0160.1","NR4A2","NGFI-B-related receptors (NR4)"
"634","MA1147.1","NR4A2::RXRA","NGFI-B-related receptors (NR4), RXR-related receptors (NR2)"
"635","MA1540.1","NR5A1","FTZ-F1-related receptors (NR5)"
"636","MA0505.1","Nr5a2","FTZ-F1-related receptors (NR5)"
"637","MA1541.1","NR6A1","GCNF-related receptors (NR6)"
"638","MA0506.1","NRF1","Jun-related factors"
"639","MA0842.2","NRL","Maf-related factors"
"640","MA0826.1","OLIG1","Tal-related factors"
"641","MA0678.1","OLIG2","Tal-related factors"
"642","MA0827.1","OLIG3","Tal-related factors"
"643","MA0679.2","ONECUT1","HD-CUT factors"
"644","MA0756.1","ONECUT2","HD-CUT factors"
"645","MA0757.1","ONECUT3","HD-CUT factors"
"646","MA1542.1","OSR1","Other factors with up to three adjacent zinc fingers"
"647","MA1646.1","OSR2","More than 3 adjacent zinc finger factors"
"648","MA0711.1","OTX1","Paired-related HD factors"
"649","MA0712.2","OTX2","Paired-related HD factors"
"650","MA1544.1","OVOL1","More than 3 adjacent zinc finger factors"
"651","MA1545.1","OVOL2","More than 3 adjacent zinc finger factors"
"652","MA0779.1","PAX1","Paired domain only"
"653","MA0067.1","Pax2","Paired domain only"
"654","MA0780.1","PAX3","Paired plus homeo domain"
"655","MA1546.1","PAX3(var.2)","Paired plus homeo domain"
"656","MA0068.2","PAX4","Paired plus homeo domain"
"657","MA0014.3","PAX5","Paired domain only"
"658","MA0069.1","PAX6","Paired plus homeo domain"
"659","MA0680.1","PAX7","Paired plus homeo domain"
"660","MA0781.1","PAX9","Paired domain only"
"661","MA0070.1","PBX1","TALE-type homeo domain factors"
"662","MA1113.2","PBX2","TALE-type homeo domain factors"
"663","MA1114.1","PBX3","TALE-type homeo domain factors"
"664","MA0132.2","PDX1","HOX-related factors"
"665","MA0713.1","PHOX2A","Paired-related HD factors"
"666","MA0681.2","PHOX2B","Paired-related HD factors"
"667","MA0682.2","PITX1","Paired-related HD factors"
"668","MA1547.1","PITX2","Paired-related HD factors"
"669","MA0714.1","PITX3","Paired-related HD factors"
"670","MA0782.2","PKNOX1","TALE-type homeo domain factors"
"671","MA0783.1","PKNOX2","TALE-type homeo domain factors"
"672","MA0163.1","PLAG1","More than 3 adjacent zinc finger factors"
"673","MA1615.1","Plagl1","More than 3 adjacent zinc fingers"
"674","MA1548.1","PLAGL2","More than 3 adjacent zinc finger factors"
"675","MA0784.1","POU1F1","POU domain factors"
"676","MA0785.1","POU2F1","POU domain factors"
"677","MA0507.1","POU2F2","POU domain factors"
"678","MA0627.2","POU2F3","POU domain factors"
"679","MA0786.1","POU3F1","POU domain factors"
"680","MA0787.1","POU3F2","POU domain factors"
"681","MA0788.1","POU3F3","POU domain factors"
"682","MA0789.1","POU3F4","POU domain factors"
"683","MA0790.1","POU4F1","POU domain factors"
"684","MA0683.1","POU4F2","POU domain factors"
"685","MA0791.1","POU4F3","POU domain factors"
"686","MA1115.1","POU5F1","POU domain factors"
"687","MA0142.1","Pou5f1::Sox2","POU domain factors, SOX-related factors"
"688","MA0792.1","POU5F1B","POU domain factors"
"689","MA0628.1","POU6F1","POU domain factors"
"690","MA1549.1","POU6F1(var.2)","POU domain factors"
"691","MA0793.1","POU6F2","POU domain factors"
"692","MA1148.1","PPARA::RXRA","Thyroid hormone receptor-related factors (NR1), RXR-related receptors (NR2)"
"693","MA1550.1","PPARD","Thyroid hormone receptor-related factors (NR1)"
"694","MA0066.1","PPARG","Thyroid hormone receptor-related factors (NR1)"
"695","MA0065.2","Pparg::Rxra","Thyroid hormone receptor-related factors (NR1), RXR-related receptors (NR2)"
"696","MA0508.3","PRDM1","More than 3 adjacent zinc finger factors"
"697","MA1616.1","Prdm15","Factors with multiple dispersed zinc fingers"
"698","MA1647.1","PRDM4","Factors with multiple dispersed zinc fingers"
"699","MA0715.1","PROP1","Paired-related HD factors"
"700","MA0794.1","PROX1","HD-PROS factors"
"701","MA0716.1","PRRX1","Paired-related HD factors"
"702","MA0075.3","PRRX2","Paired-related HD factors"
"703","MA1618.1","Ptf1a","Tal-related factors"
"704","MA1619.1","Ptf1a(var.2)","Tal-related factors"
"705","MA1620.1","Ptf1a(var.3)","Tal-related factors"
"706","MA0729.1","RARA","Thyroid hormone receptor-related factors (NR1)"
"707","MA0159.1","RARA::RXRA","Thyroid hormone receptor-related factors (NR1), RXR-related receptors (NR2)"
"708","MA1149.1","RARA::RXRG","Thyroid hormone receptor-related factors (NR1), RXR-related receptors (NR2)"
"709","MA0730.1","RARA(var.2)","Thyroid hormone receptor-related factors (NR1)"
"710","MA0857.1","Rarb","Thyroid hormone receptor-related factors (NR1)"
"711","MA0858.1","Rarb(var.2)","Thyroid hormone receptor-related factors (NR1)"
"712","MA1552.1","RARB(var.3)","Thyroid hormone receptor-related factors (NR1)"
"713","MA0859.1","Rarg","Thyroid hormone receptor-related factors (NR1)"
"714","MA0860.1","Rarg(var.2)","Thyroid hormone receptor-related factors (NR1)"
"715","MA1553.1","RARG(var.3)","Thyroid hormone receptor-related factors (NR1)"
"716","MA0718.1","RAX","Paired-related HD factors"
"717","MA0717.1","RAX2","Paired-related HD factors"
"718","MA1116.1","RBPJ","CSL-related factors"
"719","MA1621.1","Rbpjl","CSL-related factors"
"720","MA0101.1","REL","NF-kappaB-related factors"
"721","MA0107.1","RELA","NF-kappaB-related factors"
"722","MA1117.1","RELB","NF-kappaB-related factors"
"723","MA0138.2","REST","Factors with multiple dispersed zinc fingers"
"724","MA0509.2","RFX1","RFX-related factors"
"725","MA0600.2","RFX2","RFX-related factors"
"726","MA0798.2","RFX3","RFX-related factors"
"727","MA0799.1","RFX4","RFX-related factors"
"728","MA0510.2","RFX5","RFX-related factors"
"729","MA1554.1","RFX7","RFX-related factors"
"730","MA0629.1","Rhox11","Paired-related HD factors"
"731","MA0719.1","RHOXF1","Paired-related HD factors"
"732","MA0071.1","RORA","Thyroid hormone receptor-related factors (NR1)"
"733","MA0072.1","RORA(var.2)","Thyroid hormone receptor-related factors (NR1)"
"734","MA1150.1","RORB","Thyroid hormone receptor-related factors (NR1)"
"735","MA1151.1","RORC","Thyroid hormone receptor-related factors (NR1)"
"736","MA0073.1","RREB1","Factors with multiple dispersed zinc fingers"
"737","MA0002.2","RUNX1","Runt-related factors"
"738","MA0511.2","RUNX2","Runt-related factors"
"739","MA0684.2","RUNX3","Runt-related factors"
"740","MA0512.2","Rxra","RXR-related receptors (NR2)"
"741","MA0074.1","RXRA::VDR","RXR-related receptors (NR2), Thyroid hormone receptor-related factors (NR1)"
"742","MA0855.1","RXRB","RXR-related receptors (NR2)"
"743","MA1555.1","RXRB(var.2)","RXR-related receptors (NR2)"
"744","MA0856.1","RXRG","RXR-related receptors (NR2)"
"745","MA1556.1","RXRG(var.2)","RXR-related receptors (NR2)"
"746","MA0743.2","SCRT1","More than 3 adjacent zinc finger factors"
"747","MA0744.2","SCRT2","More than 3 adjacent zinc finger factors"
"748","MA0630.1","SHOX","Paired-related HD factors"
"749","MA0720.1","Shox2","Paired-related HD factors"
"750","MA1118.1","SIX1","HD-SINE factors"
"751","MA1119.1","SIX2","HD-SINE factors"
"752","MA0631.1","Six3","HD-SINE factors"
"753","MA1622.1","Smad2::Smad3","SMAD factors, SMAD factors"
"754","MA0513.1","SMAD2::SMAD3::SMAD4","SMAD factors, SMAD factors, SMAD factors"
"755","MA0795.1","SMAD3","SMAD factors"
"756","MA1153.1","Smad4","SMAD factors"
"757","MA1557.1","SMAD5","SMAD factors"
"758","MA1558.1","SNAI1","More than 3 adjacent zinc finger factors"
"759","MA0745.2","SNAI2","More than 3 adjacent zinc finger factors"
"760","MA1559.1","SNAI3","More than 3 adjacent zinc finger factors"
"761","MA1560.1","SOHLH2","PAS domain factors"
"762","MA0870.1","Sox1","SOX-related factors"
"763","MA0442.2","SOX10","SOX-related factors"
"764","MA0869.1","Sox11","SOX-related factors"
"765","MA1561.1","SOX12","SOX-related factors"
"766","MA1120.1","SOX13","SOX-related factors"
"767","MA1562.1","SOX14","SOX-related factors"
"768","MA1152.1","SOX15","SOX-related factors"
"769","MA0078.1","Sox17","SOX-related factors"
"770","MA1563.1","SOX18","SOX-related factors"
"771","MA0143.4","SOX2","SOX-related factors"
"772","MA0866.1","SOX21","SOX-related factors"
"773","MA0514.1","Sox3","SOX-related factors"
"774","MA0867.2","SOX4","SOX-related factors"
"775","MA0087.1","Sox5","SOX-related factors"
"776","MA0515.1","Sox6","SOX-related factors"
"777","MA0868.2","SOX8","SOX-related factors"
"778","MA0077.1","SOX9","SOX-related factors"
"779","MA0079.4","SP1","Three-zinc finger Kruppel-related factors"
"780","MA0516.2","SP2","Three-zinc finger Kruppel-related factors"
"781","MA0746.2","SP3","Three-zinc finger Kruppel-related factors"
"782","MA0685.1","SP4","Three-zinc finger Krüppel-related factors"
"783","MA0747.1","SP8","Three-zinc finger Krüppel-related factors"
"784","MA1564.1","SP9","Three-zinc finger Kruppel-related factors"
"785","MA0686.1","SPDEF","Ets-related factors"
"786","MA0080.5","SPI1","Ets-related factors"
"787","MA0081.2","SPIB","Ets-related factors"
"788","MA0687.1","SPIC","Ets-related factors"
"789","MA0111.1","Spz1",""
"790","MA0595.1","SREBF1","bHLH-ZIP factors"
"791","MA0829.2","SREBF1(var.2)","bHLH-ZIP factors"
"792","MA0596.1","SREBF2","bHLH-ZIP factors"
"793","MA0828.1","SREBF2(var.2)","bHLH-ZIP factors"
"794","MA0083.3","SRF","Responders to external signals (SRF/RLM1)"
"795","MA0084.1","SRY","SOX-related factors"
"796","MA0137.3","STAT1","STAT factors"
"797","MA0517.1","STAT1::STAT2","STAT factors, STAT factors"
"798","MA1623.1","Stat2","STAT factors"
"799","MA0144.2","STAT3","STAT factors"
"800","MA0518.1","Stat4","STAT factors"
"801","MA1624.1","Stat5a","STAT factors"
"802","MA0519.1","Stat5a::Stat5b","STAT factors, STAT factors"
"803","MA1625.1","Stat5b","STAT factors"
"804","MA0520.1","Stat6","STAT factors"
"805","MA0091.1","TAL1::TCF3","Tal-related factors, E2A-related factors"
"806","MA0108.2","TBP","TBP-related factors"
"807","MA0802.1","TBR1","TBrain-related factors"
"808","MA0805.1","TBX1","TBX1-related factors"
"809","MA0803.1","TBX15","TBX1-related factors"
"810","MA1565.1","TBX18","TBX1-related factors"
"811","MA0804.1","TBX19","Brachyury-related factors"
"812","MA0688.1","TBX2","TBX2-related factors"
"813","MA0689.1","TBX20","TBX1-related factors"
"814","MA0690.1","TBX21","TBrain-related factors"
"815","MA1566.1","TBX3","TBX2-related factors"
"816","MA0806.1","TBX4","TBX2-related factors"
"817","MA0807.1","TBX5","TBX2-related factors"
"818","MA1567.1","TBX6","TBX6-related factors"
"819","MA0009.2","TBXT","Brachyury-related factors"
"820","MA0521.1","Tcf12","E2A-related factors"
"821","MA1648.1","TCF12(var.2)","E2A-related factors"
"822","MA0832.1","Tcf21","Tal-related factors"
"823","MA1568.1","TCF21(var.2)","Tal-related factors"
"824","MA0522.3","TCF3","E2A-related factors"
"825","MA0830.2","TCF4","E2A-related factors"
"826","MA0769.2","TCF7","TCF-7-related factors"
"827","MA1421.1","TCF7L1","TCF-7-related factors"
"828","MA0523.1","TCF7L2","TCF-7-related factors"
"829","MA0632.2","TCFL5","PAS domain factors"
"830","MA0090.3","TEAD1","TEF-1-related factors"
"831","MA1121.1","TEAD2","TEF-1-related factors"
"832","MA0808.1","TEAD3","TEF-1-related factors"
"833","MA0809.2","TEAD4","TEF-1-related factors"
"834","MA0843.1","TEF","TEF-1-related factors"
"835","MA0003.4","TFAP2A","AP-2"
"836","MA0810.1","TFAP2A(var.2)","AP-2"
"837","MA0872.1","TFAP2A(var.3)","AP-2"
"838","MA0811.1","TFAP2B","AP-2"
"839","MA0812.1","TFAP2B(var.2)","AP-2"
"840","MA0813.1","TFAP2B(var.3)","AP-2"
"841","MA0524.2","TFAP2C","AP-2"
"842","MA0814.2","TFAP2C(var.2)","AP-2"
"843","MA0815.1","TFAP2C(var.3)","AP-2"
"844","MA1569.1","TFAP2E","AP-2"
"845","MA0691.1","TFAP4","bHLH-ZIP factors"
"846","MA1570.1","TFAP4(var.2)","bHLH-ZIP factors"
"847","MA0145.3","TFCP2","CP2-related factors"
"848","MA1122.1","TFDP1","E2F-related factors"
"849","MA0831.2","TFE3","bHLH-ZIP factors"
"850","MA0692.1","TFEB","bHLH-ZIP factors"
"851","MA0871.2","TFEC","bHLH-ZIP factors"
"852","MA0796.1","TGIF1","TALE-type homeo domain factors"
"853","MA0797.1","TGIF2","TALE-type homeo domain factors"
"854","MA1571.1","TGIF2LX","TALE-type homeo domain factors"
"855","MA1572.1","TGIF2LY","TALE-type homeo domain factors"
"856","MA0597.1","THAP1","THAP-related factors"
"857","MA1573.1","THAP11","THAP-related factors"
"858","MA1574.1","THRB","Thyroid hormone receptor-related factors (NR1)"
"859","MA1575.1","THRB(var.2)","Thyroid hormone receptor-related factors (NR1)"
"860","MA1576.1","THRB(var.3)","Thyroid hormone receptor-related factors (NR1)"
"861","MA1577.1","TLX2","NK-related factors"
"862","MA0106.3","TP53","p53-related factors"
"863","MA0525.2","TP63","p53-related factors"
"864","MA0861.1","TP73","p53-related factors"
"865","MA1123.2","TWIST1","Tal-related factors"
"866","MA0633.1","Twist2","Tal-related factors"
"867","MA0721.1","UNCX","Paired-related HD factors"
"868","MA0093.3","USF1","bHLH-ZIP factors"
"869","MA0526.3","USF2","bHLH-ZIP factors"
"870","MA0722.1","VAX1","NK-related factors"
"871","MA0723.1","VAX2","NK-related factors"
"872","MA0693.2","VDR","Thyroid hormone receptor-related factors (NR1)"
"873","MA0724.1","VENTX","NK-related factors"
"874","MA1578.1","VEZF1","More than 3 adjacent zinc finger factors"
"875","MA0725.1","VSX1","Paired-related HD factors"
"876","MA0726.1","VSX2","Paired-related HD factors"
"877","MA1627.1","Wt1","More than 3 adjacent zinc fingers"
"878","MA0844.1","XBP1","XBP-1-related factors"
"879","MA0095.2","YY1","More than 3 adjacent zinc finger factors"
"880","MA0748.2","YY2","More than 3 adjacent zinc finger factors"
"881","MA0749.1","ZBED1","BED zinc finger factors"
"882","MA1649.1","ZBTB12","More than 3 adjacent zinc finger factors"
"883","MA1650.1","ZBTB14","More than 3 adjacent zinc finger factors"
"884","MA0698.1","ZBTB18","More than 3 adjacent zinc finger factors"
"885","MA1579.1","ZBTB26","More than 3 adjacent zinc finger factors"
"886","MA1580.1","ZBTB32","Other factors with up to three adjacent zinc fingers"
"887","MA0527.1","ZBTB33","Other factors with up to three adjacent zinc fingers"
"888","MA1581.1","ZBTB6","More than 3 adjacent zinc finger factors"
"889","MA0750.2","ZBTB7A","More than 3 adjacent zinc finger factors"
"890","MA0694.1","ZBTB7B","More than 3 adjacent zinc finger factors"
"891","MA0695.1","ZBTB7C","More than 3 adjacent zinc finger factors"
"892","MA0103.3","ZEB1","HD-ZF factors"
"893","MA1651.1","ZFP42","More than 3 adjacent zinc finger factors"
"894","MA1583.1","ZFP57","Factors with multiple dispersed zinc fingers"
"895","MA0146.2","Zfx","More than 3 adjacent zinc finger factors"
"896","MA0696.1","ZIC1","More than 3 adjacent zinc finger factors"
"897","MA1628.1","Zic1::Zic2","More than 3 adjacent zinc fingers, More than 3 adjacent zinc fingers"
"898","MA1629.1","Zic2","More than 3 adjacent zinc fingers, More than 3 adjacent zinc fingers"
"899","MA0697.1","ZIC3","More than 3 adjacent zinc finger factors"
"900","MA0751.1","ZIC4","More than 3 adjacent zinc finger factors"
"901","MA1584.1","ZIC5","More than 3 adjacent zinc finger factors"
"902","MA1585.1","ZKSCAN1","More than 3 adjacent zinc finger factors"
"903","MA1652.1","ZKSCAN5","Factors with multiple dispersed zinc fingers"
"904","MA1587.1","ZNF135","More than 3 adjacent zinc finger factors"
"905","MA1588.1","ZNF136","More than 3 adjacent zinc finger factors"
"906","MA1589.1","ZNF140","More than 3 adjacent zinc finger factors"
"907","MA0088.2","ZNF143","More than 3 adjacent zinc finger factors"
"908","MA1653.1","ZNF148","More than 3 adjacent zinc finger factors"
"909","MA1654.1","ZNF16","More than 3 adjacent zinc finger factors"
"910","MA1124.1","ZNF24","More than 3 adjacent zinc finger factors"
"911","MA0528.2","ZNF263","More than 3 adjacent zinc finger factors"
"912","MA1592.1","ZNF274","More than 3 adjacent zinc finger factors"
"913","MA1630.1","Znf281","More than 3 adjacent zinc finger factors"
"914","MA1154.1","ZNF282","More than 3 adjacent zinc finger factors"
"915","MA1593.1","ZNF317","More than 3 adjacent zinc finger factors"
"916","MA1655.1","ZNF341","Factors with multiple dispersed zinc fingers"
"917","MA0130.1","ZNF354C","More than 3 adjacent zinc finger factors"
"918","MA1594.1","ZNF382","Factors with multiple dispersed zinc fingers"
"919","MA1125.1","ZNF384","More than 3 adjacent zinc finger factors"
"920","MA0752.1","ZNF410","More than 3 adjacent zinc finger factors"
"921","MA0116.1","Znf423","Factors with multiple dispersed zinc fingers"
"922","MA1656.1","ZNF449","More than 3 adjacent zinc finger factors"
"923","MA1596.1","ZNF460","More than 3 adjacent zinc finger factors"
"924","MA1597.1","ZNF528","More than 3 adjacent zinc finger factors"
"925","MA1657.1","ZNF652","More than 3 adjacent zinc finger factors"
"926","MA1599.1","ZNF682","More than 3 adjacent zinc finger factors"
"927","MA1600.1","ZNF684","More than 3 adjacent zinc finger factors"
"928","MA0753.2","ZNF740","Other factors with up to three adjacent zinc fingers"
"929","MA1601.1","ZNF75D","More than 3 adjacent zinc finger factors"
"930","MA1602.1","ZSCAN29","More than 3 adjacent zinc finger factors"
"931","MA1155.1","ZSCAN4","More than 3 adjacent zinc finger factors"
