"","ID","clust"
"NR3C1_MA0113.3","NR3C1_MA0113.3",76
"NR3C2_MA0727.1","NR3C2_MA0727.1",76
"NR4A1_MA1112.2","NR4A1_MA1112.2",71
"NR4A2_MA0160.1","NR4A2_MA0160.1",71
"NR4A2::RXRA_MA1147.1","NR4A2::RXRA_MA1147.1",23
"NR5A1_MA1540.1","NR5A1_MA1540.1",71
"Nr5a2_MA0505.1","Nr5a2_MA0505.1",71
"NR6A1_MA1541.1","NR6A1_MA1541.1",71
"NRF1_MA0506.1","NRF1_MA0506.1",118
"NRL_MA0842.2","NRL_MA0842.2",72
"OLIG1_MA0826.1","OLIG1_MA0826.1",53
"OLIG2_MA0678.1","OLIG2_MA0678.1",53
"OLIG3_MA0827.1","OLIG3_MA0827.1",53
"ONECUT1_MA0679.2","ONECUT1_MA0679.2",6
"ONECUT2_MA0756.1","ONECUT2_MA0756.1",6
"ONECUT3_MA0757.1","ONECUT3_MA0757.1",6
"OSR1_MA1542.1","OSR1_MA1542.1",36
"OSR2_MA1646.1","OSR2_MA1646.1",36
"OTX1_MA0711.1","OTX1_MA0711.1",5
"OTX2_MA0712.2","OTX2_MA0712.2",5
"OVOL1_MA1544.1","OVOL1_MA1544.1",105
"OVOL2_MA1545.1","OVOL2_MA1545.1",105
"PAX1_MA0779.1","PAX1_MA0779.1",50
"Pax2_MA0067.1","Pax2_MA0067.1",54
"PAX3_MA0780.1","PAX3_MA0780.1",6
"PAX3(var.2)_MA1546.1","PAX3(var.2)_MA1546.1",119
"PAX4_MA0068.2","PAX4_MA0068.2",1
"PAX5_MA0014.3","PAX5_MA0014.3",54
"PAX6_MA0069.1","PAX6_MA0069.1",50
"PAX7_MA0680.1","PAX7_MA0680.1",6
"PAX9_MA0781.1","PAX9_MA0781.1",50
"PBX1_MA0070.1","PBX1_MA0070.1",103
"PBX2_MA1113.2","PBX2_MA1113.2",103
"PBX3_MA1114.1","PBX3_MA1114.1",2
"PDX1_MA0132.2","PDX1_MA0132.2",1
"PHOX2A_MA0713.1","PHOX2A_MA0713.1",83
"PHOX2B_MA0681.2","PHOX2B_MA0681.2",83
"PITX1_MA0682.2","PITX1_MA0682.2",5
"PITX2_MA1547.1","PITX2_MA1547.1",5
"PITX3_MA0714.1","PITX3_MA0714.1",5
"PKNOX1_MA0782.2","PKNOX1_MA0782.2",2
"PKNOX2_MA0783.1","PKNOX2_MA0783.1",120
"PLAG1_MA0163.1","PLAG1_MA0163.1",121
"Plagl1_MA1615.1","Plagl1_MA1615.1",122
"PLAGL2_MA1548.1","PLAGL2_MA1548.1",122
"POU1F1_MA0784.1","POU1F1_MA0784.1",35
"POU2F1_MA0785.1","POU2F1_MA0785.1",35
"POU2F2_MA0507.1","POU2F2_MA0507.1",35
"POU2F3_MA0627.2","POU2F3_MA0627.2",35
"POU3F1_MA0786.1","POU3F1_MA0786.1",35
"POU3F2_MA0787.1","POU3F2_MA0787.1",35
"POU3F3_MA0788.1","POU3F3_MA0788.1",35
"POU3F4_MA0789.1","POU3F4_MA0789.1",35
"POU4F1_MA0790.1","POU4F1_MA0790.1",95
"POU4F2_MA0683.1","POU4F2_MA0683.1",95
"POU4F3_MA0791.1","POU4F3_MA0791.1",95
"POU5F1_MA1115.1","POU5F1_MA1115.1",35
"Pou5f1::Sox2_MA0142.1","Pou5f1::Sox2_MA0142.1",35
"POU5F1B_MA0792.1","POU5F1B_MA0792.1",35
"POU6F1_MA0628.1","POU6F1_MA0628.1",1
"POU6F1(var.2)_MA1549.1","POU6F1(var.2)_MA1549.1",1
"POU6F2_MA0793.1","POU6F2_MA0793.1",1
"PPARA::RXRA_MA1148.1","PPARA::RXRA_MA1148.1",114
"PPARD_MA1550.1","PPARD_MA1550.1",114
"PPARG_MA0066.1","PPARG_MA0066.1",87
"Pparg::Rxra_MA0065.2","Pparg::Rxra_MA0065.2",114
"PRDM1_MA0508.3","PRDM1_MA0508.3",123
"Prdm15_MA1616.1","Prdm15_MA1616.1",124
"PRDM4_MA1647.1","PRDM4_MA1647.1",40
"PROP1_MA0715.1","PROP1_MA0715.1",83
"PROX1_MA0794.1","PROX1_MA0794.1",125
"PRRX1_MA0716.1","PRRX1_MA0716.1",1
"PRRX2_MA0075.3","PRRX2_MA0075.3",1
"Ptf1a_MA1618.1","Ptf1a_MA1618.1",53
"Ptf1a(var.2)_MA1619.1","Ptf1a(var.2)_MA1619.1",46
"Ptf1a(var.3)_MA1620.1","Ptf1a(var.3)_MA1620.1",46
"RARA_MA0729.1","RARA_MA0729.1",96
"RARA::RXRA_MA0159.1","RARA::RXRA_MA0159.1",126
"RARA::RXRG_MA1149.1","RARA::RXRG_MA1149.1",126
"RARA(var.2)_MA0730.1","RARA(var.2)_MA0730.1",126
"Rarb_MA0857.1","Rarb_MA0857.1",96
"Rarb(var.2)_MA0858.1","Rarb(var.2)_MA0858.1",126
"RARB(var.3)_MA1552.1","RARB(var.3)_MA1552.1",127
"Rarg_MA0859.1","Rarg_MA0859.1",96
"Rarg(var.2)_MA0860.1","Rarg(var.2)_MA0860.1",115
"RARG(var.3)_MA1553.1","RARG(var.3)_MA1553.1",127
"RAX_MA0718.1","RAX_MA0718.1",1
"RAX2_MA0717.1","RAX2_MA0717.1",1
"RBPJ_MA1116.1","RBPJ_MA1116.1",48
"Rbpjl_MA1621.1","Rbpjl_MA1621.1",46
"REL_MA0101.1","REL_MA0101.1",21
"RELA_MA0107.1","RELA_MA0107.1",21
"RELB_MA1117.1","RELB_MA1117.1",107
"REST_MA0138.2","REST_MA0138.2",128
"RFX1_MA0509.2","RFX1_MA0509.2",129
"RFX2_MA0600.2","RFX2_MA0600.2",129
"RFX3_MA0798.2","RFX3_MA0798.2",129
"RFX4_MA0799.1","RFX4_MA0799.1",129
"RFX5_MA0510.2","RFX5_MA0510.2",129
"RFX7_MA1554.1","RFX7_MA1554.1",129
"Rhox11_MA0629.1","Rhox11_MA0629.1",130
"RHOXF1_MA0719.1","RHOXF1_MA0719.1",5
"RORA_MA0071.1","RORA_MA0071.1",31
"RORA(var.2)_MA0072.1","RORA(var.2)_MA0072.1",31
"RORB_MA1150.1","RORB_MA1150.1",31
"RORC_MA1151.1","RORC_MA1151.1",31
"RREB1_MA0073.1","RREB1_MA0073.1",131
"RUNX1_MA0002.2","RUNX1_MA0002.2",7
"RUNX2_MA0511.2","RUNX2_MA0511.2",7
"RUNX3_MA0684.2","RUNX3_MA0684.2",7
"Rxra_MA0512.2","Rxra_MA0512.2",114
"RXRA::VDR_MA0074.1","RXRA::VDR_MA0074.1",116
"RXRB_MA0855.1","RXRB_MA0855.1",114
"RXRB(var.2)_MA1555.1","RXRB(var.2)_MA1555.1",127
"RXRG_MA0856.1","RXRG_MA0856.1",114
"RXRG(var.2)_MA1556.1","RXRG(var.2)_MA1556.1",127
"SCRT1_MA0743.2","SCRT1_MA0743.2",46
"SCRT2_MA0744.2","SCRT2_MA0744.2",46
"SHOX_MA0630.1","SHOX_MA0630.1",1
"Shox2_MA0720.1","Shox2_MA0720.1",1
"SIX1_MA1118.1","SIX1_MA1118.1",132
"SIX2_MA1119.1","SIX2_MA1119.1",132
"Six3_MA0631.1","Six3_MA0631.1",39
"Smad2::Smad3_MA1622.1","Smad2::Smad3_MA1622.1",16
"SMAD2::SMAD3::SMAD4_MA0513.1","SMAD2::SMAD3::SMAD4_MA0513.1",133
"SMAD3_MA0795.1","SMAD3_MA0795.1",73
"Smad4_MA1153.1","Smad4_MA1153.1",73
"SMAD5_MA1557.1","SMAD5_MA1557.1",73
"SNAI1_MA1558.1","SNAI1_MA1558.1",46
"SNAI2_MA0745.2","SNAI2_MA0745.2",46
"SNAI3_MA1559.1","SNAI3_MA1559.1",46
"SOHLH2_MA1560.1","SOHLH2_MA1560.1",28
"Sox1_MA0870.1","Sox1_MA0870.1",134
"SOX10_MA0442.2","SOX10_MA0442.2",19
"Sox11_MA0869.1","Sox11_MA0869.1",134
"SOX12_MA1561.1","SOX12_MA1561.1",19
"SOX13_MA1120.1","SOX13_MA1120.1",19
"SOX14_MA1562.1","SOX14_MA1562.1",19
"SOX15_MA1152.1","SOX15_MA1152.1",19
"Sox17_MA0078.1","Sox17_MA0078.1",19
"SOX18_MA1563.1","SOX18_MA1563.1",19
"SOX2_MA0143.4","SOX2_MA0143.4",19
"SOX21_MA0866.1","SOX21_MA0866.1",134
"Sox3_MA0514.1","Sox3_MA0514.1",19
"SOX4_MA0867.2","SOX4_MA0867.2",19
"Sox5_MA0087.1","Sox5_MA0087.1",19
"Sox6_MA0515.1","Sox6_MA0515.1",19
"SOX8_MA0868.2","SOX8_MA0868.2",19
"SOX9_MA0077.1","SOX9_MA0077.1",19
"SP1_MA0079.4","SP1_MA0079.4",12
"SP2_MA0516.2","SP2_MA0516.2",12
"SP3_MA0746.2","SP3_MA0746.2",12
"SP4_MA0685.1","SP4_MA0685.1",12
"SP8_MA0747.1","SP8_MA0747.1",12
"SP9_MA1564.1","SP9_MA1564.1",12
"SPDEF_MA0686.1","SPDEF_MA0686.1",24
"SPI1_MA0080.5","SPI1_MA0080.5",24
"SPIB_MA0081.2","SPIB_MA0081.2",24
"SPIC_MA0687.1","SPIC_MA0687.1",24
"Spz1_MA0111.1","Spz1_MA0111.1",135
"SREBF1_MA0595.1","SREBF1_MA0595.1",136
"SREBF1(var.2)_MA0829.2","SREBF1(var.2)_MA0829.2",28
"SREBF2_MA0596.1","SREBF2_MA0596.1",136
"SREBF2(var.2)_MA0828.1","SREBF2(var.2)_MA0828.1",28
"SRF_MA0083.3","SRF_MA0083.3",137
"SRY_MA0084.1","SRY_MA0084.1",19
"STAT1_MA0137.3","STAT1_MA0137.3",47
"STAT1::STAT2_MA0517.1","STAT1::STAT2_MA0517.1",59
"Stat2_MA1623.1","Stat2_MA1623.1",59
"STAT3_MA0144.2","STAT3_MA0144.2",47
"Stat4_MA0518.1","Stat4_MA0518.1",47
"Stat5a_MA1624.1","Stat5a_MA1624.1",47
"Stat5a::Stat5b_MA0519.1","Stat5a::Stat5b_MA0519.1",47
"Stat5b_MA1625.1","Stat5b_MA1625.1",47
"Stat6_MA0520.1","Stat6_MA0520.1",138
"TAL1::TCF3_MA0091.1","TAL1::TCF3_MA0091.1",53
"TBP_MA0108.2","TBP_MA0108.2",14
"TBR1_MA0802.1","TBR1_MA0802.1",86
"TBX1_MA0805.1","TBX1_MA0805.1",86
"TBX15_MA0803.1","TBX15_MA0803.1",86
"TBX18_MA1565.1","TBX18_MA1565.1",86
"TBX19_MA0804.1","TBX19_MA0804.1",139
"TBX2_MA0688.1","TBX2_MA0688.1",86
"TBX20_MA0689.1","TBX20_MA0689.1",86
"TBX21_MA0690.1","TBX21_MA0690.1",86
"TBX3_MA1566.1","TBX3_MA1566.1",86
"TBX4_MA0806.1","TBX4_MA0806.1",86
"TBX5_MA0807.1","TBX5_MA0807.1",86
"TBX6_MA1567.1","TBX6_MA1567.1",86
"TBXT_MA0009.2","TBXT_MA0009.2",139
"Tcf12_MA0521.1","Tcf12_MA0521.1",46
"TCF12(var.2)_MA1648.1","TCF12(var.2)_MA1648.1",46
"Tcf21_MA0832.1","Tcf21_MA0832.1",46
"TCF21(var.2)_MA1568.1","TCF21(var.2)_MA1568.1",53
"TCF3_MA0522.3","TCF3_MA0522.3",46
"TCF4_MA0830.2","TCF4_MA0830.2",46
"TCF7_MA0769.2","TCF7_MA0769.2",101
"TCF7L1_MA1421.1","TCF7L1_MA1421.1",101
"TCF7L2_MA0523.1","TCF7L2_MA0523.1",101
"TCFL5_MA0632.2","TCFL5_MA0632.2",75
"TEAD1_MA0090.3","TEAD1_MA0090.3",45
"TEAD2_MA1121.1","TEAD2_MA1121.1",45
"TEAD3_MA0808.1","TEAD3_MA0808.1",45
"TEAD4_MA0809.2","TEAD4_MA0809.2",45
"TEF_MA0843.1","TEF_MA0843.1",27
"TFAP2A_MA0003.4","TFAP2A_MA0003.4",140
"TFAP2A(var.2)_MA0810.1","TFAP2A(var.2)_MA0810.1",141
"TFAP2A(var.3)_MA0872.1","TFAP2A(var.3)_MA0872.1",141
"TFAP2B_MA0811.1","TFAP2B_MA0811.1",141
"TFAP2B(var.2)_MA0812.1","TFAP2B(var.2)_MA0812.1",140
"TFAP2B(var.3)_MA0813.1","TFAP2B(var.3)_MA0813.1",141
"TFAP2C_MA0524.2","TFAP2C_MA0524.2",141
"TFAP2C(var.2)_MA0814.2","TFAP2C(var.2)_MA0814.2",140
"TFAP2C(var.3)_MA0815.1","TFAP2C(var.3)_MA0815.1",141
"TFAP2E_MA1569.1","TFAP2E_MA1569.1",140
"TFAP4_MA0691.1","TFAP4_MA0691.1",46
"TFAP4(var.2)_MA1570.1","TFAP4(var.2)_MA1570.1",53
"TFCP2_MA0145.3","TFCP2_MA0145.3",26
"TFDP1_MA1122.1","TFDP1_MA1122.1",65
"TFE3_MA0831.2","TFE3_MA0831.2",28
"TFEB_MA0692.1","TFEB_MA0692.1",28
"TFEC_MA0871.2","TFEC_MA0871.2",28
"TGIF1_MA0796.1","TGIF1_MA0796.1",120
"TGIF2_MA0797.1","TGIF2_MA0797.1",120
"TGIF2LX_MA1571.1","TGIF2LX_MA1571.1",120
"TGIF2LY_MA1572.1","TGIF2LY_MA1572.1",120
"THAP1_MA0597.1","THAP1_MA0597.1",25
"THAP11_MA1573.1","THAP11_MA1573.1",142
"THRB_MA1574.1","THRB_MA1574.1",114
"THRB(var.2)_MA1575.1","THRB(var.2)_MA1575.1",143
"THRB(var.3)_MA1576.1","THRB(var.3)_MA1576.1",115
"TLX2_MA1577.1","TLX2_MA1577.1",1
"TP53_MA0106.3","TP53_MA0106.3",144
"TP63_MA0525.2","TP63_MA0525.2",144
"TP73_MA0861.1","TP73_MA0861.1",144
"TWIST1_MA1123.2","TWIST1_MA1123.2",53
"Twist2_MA0633.1","Twist2_MA0633.1",53
"UNCX_MA0721.1","UNCX_MA0721.1",1
"USF1_MA0093.3","USF1_MA0093.3",28
"USF2_MA0526.3","USF2_MA0526.3",28
"VAX1_MA0722.1","VAX1_MA0722.1",1
"VAX2_MA0723.1","VAX2_MA0723.1",1
"VDR_MA0693.2","VDR_MA0693.2",17
"VENTX_MA0724.1","VENTX_MA0724.1",1
"VEZF1_MA1578.1","VEZF1_MA1578.1",145
"VSX1_MA0725.1","VSX1_MA0725.1",1
"VSX2_MA0726.1","VSX2_MA0726.1",1
"Wt1_MA1627.1","Wt1_MA1627.1",145
"XBP1_MA0844.1","XBP1_MA0844.1",78
"YY1_MA0095.2","YY1_MA0095.2",43
"YY2_MA0748.2","YY2_MA0748.2",43
"ZBED1_MA0749.1","ZBED1_MA0749.1",146
"ZBTB12_MA1649.1","ZBTB12_MA1649.1",68
"ZBTB14_MA1650.1","ZBTB14_MA1650.1",147
"ZBTB18_MA0698.1","ZBTB18_MA0698.1",53
"ZBTB26_MA1579.1","ZBTB26_MA1579.1",30
"ZBTB32_MA1580.1","ZBTB32_MA1580.1",148
"ZBTB33_MA0527.1","ZBTB33_MA0527.1",149
"ZBTB6_MA1581.1","ZBTB6_MA1581.1",150
"ZBTB7A_MA0750.2","ZBTB7A_MA0750.2",24
"ZBTB7B_MA0694.1","ZBTB7B_MA0694.1",151
"ZBTB7C_MA0695.1","ZBTB7C_MA0695.1",151
"ZEB1_MA0103.3","ZEB1_MA0103.3",46
"ZFP42_MA1651.1","ZFP42_MA1651.1",43
"ZFP57_MA1583.1","ZFP57_MA1583.1",152
"Zfx_MA0146.2","Zfx_MA0146.2",153
"ZIC1_MA0696.1","ZIC1_MA0696.1",38
"Zic1::Zic2_MA1628.1","Zic1::Zic2_MA1628.1",38
"Zic2_MA1629.1","Zic2_MA1629.1",38
"ZIC3_MA0697.1","ZIC3_MA0697.1",38
"ZIC4_MA0751.1","ZIC4_MA0751.1",38
"ZIC5_MA1584.1","ZIC5_MA1584.1",38
"ZKSCAN1_MA1585.1","ZKSCAN1_MA1585.1",154
"ZKSCAN5_MA1652.1","ZKSCAN5_MA1652.1",155
"ZNF135_MA1587.1","ZNF135_MA1587.1",156
"ZNF136_MA1588.1","ZNF136_MA1588.1",157
"ZNF140_MA1589.1","ZNF140_MA1589.1",158
"ZNF143_MA0088.2","ZNF143_MA0088.2",159
"ZNF148_MA1653.1","ZNF148_MA1653.1",12
"ZNF16_MA1654.1","ZNF16_MA1654.1",160
"ZNF24_MA1124.1","ZNF24_MA1124.1",161
"ZNF263_MA0528.2","ZNF263_MA0528.2",162
"ZNF274_MA1592.1","ZNF274_MA1592.1",163
"Znf281_MA1630.1","Znf281_MA1630.1",145
"ZNF282_MA1154.1","ZNF282_MA1154.1",164
"ZNF317_MA1593.1","ZNF317_MA1593.1",165
"ZNF341_MA1655.1","ZNF341_MA1655.1",166
"ZNF354C_MA0130.1","ZNF354C_MA0130.1",89
"ZNF382_MA1594.1","ZNF382_MA1594.1",167
"ZNF384_MA1125.1","ZNF384_MA1125.1",29
"ZNF410_MA0752.1","ZNF410_MA0752.1",168
"Znf423_MA0116.1","Znf423_MA0116.1",169
"ZNF449_MA1656.1","ZNF449_MA1656.1",170
"ZNF460_MA1596.1","ZNF460_MA1596.1",156
"ZNF528_MA1597.1","ZNF528_MA1597.1",171
"ZNF652_MA1657.1","ZNF652_MA1657.1",32
"ZNF682_MA1599.1","ZNF682_MA1599.1",172
"ZNF684_MA1600.1","ZNF684_MA1600.1",173
"ZNF740_MA0753.2","ZNF740_MA0753.2",145
"ZNF75D_MA1601.1","ZNF75D_MA1601.1",48
"ZSCAN29_MA1602.1","ZSCAN29_MA1602.1",174
"ZSCAN4_MA1155.1","ZSCAN4_MA1155.1",175
