"","ID","clust","jID","enClust","bClust"
"gcm2_MA0917.1","gcm2_MA0917.1",25,"MA0917.1",1,"25_1"
"fkh-2_MA0920.1","fkh-2_MA0920.1",3,"MA0920.1",18,"3_18"
"ceh-48_MA0921.1","ceh-48_MA0921.1",6,"MA0921.1",27,"6_27"
"ces-2_MA0922.1","ces-2_MA0922.1",27,"MA0922.1",9,"27_9"
"unc-86_MA0926.1","unc-86_MA0926.1",56,"MA0926.1",25,"56_25"
"zfh-2_MA0928.1","zfh-2_MA0928.1",1,"MA0928.1",73,"1_73"
"HES1_MA1099.2","HES1_MA1099.2",28,"MA1099.2",2,"28_2"
"ASCL1_MA1100.2","ASCL1_MA1100.2",46,"MA1100.2",19,"46_19"
"BACH2_MA1101.2","BACH2_MA1101.2",16,"MA1101.2",4,"16_4"
"CTCFL_MA1102.2","CTCFL_MA1102.2",81,"MA1102.2",41,"81_41"
"FOXK2_MA1103.2","FOXK2_MA1103.2",3,"MA1103.2",18,"3_18"
"GATA6_MA1104.2","GATA6_MA1104.2",66,"MA1104.2",14,"66_14"
"GRHL2_MA1105.2","GRHL2_MA1105.2",26,"MA1105.2",11,"26_11"
"HIF1A_MA1106.1","HIF1A_MA1106.1",28,"MA1106.1",2,"28_2"
"KLF9_MA1107.2","KLF9_MA1107.2",12,"MA1107.2",1,"12_1"
"MXI1_MA1108.2","MXI1_MA1108.2",53,"MA1108.2",2,"53_2"
"NEUROD1_MA1109.1","NEUROD1_MA1109.1",53,"MA1109.1",19,"53_19"
"NR4A1_MA1112.2","NR4A1_MA1112.2",71,"MA1112.2",39,"71_39"
"PBX3_MA1114.1","PBX3_MA1114.1",2,"MA1114.1",1,"2_1"
"POU5F1_MA1115.1","POU5F1_MA1115.1",35,"MA1115.1",26,"35_26"
"RELB_MA1117.1","RELB_MA1117.1",107,"MA1117.1",1,"107_1"
"SIX1_MA1118.1","SIX1_MA1118.1",132,"MA1118.1",13,"132_13"
"SIX2_MA1119.1","SIX2_MA1119.1",132,"MA1119.1",27,"132_27"
"SOX13_MA1120.1","SOX13_MA1120.1",19,"MA1120.1",1,"19_1"
"TEAD2_MA1121.1","TEAD2_MA1121.1",45,"MA1121.1",29,"45_29"
"TFDP1_MA1122.1","TFDP1_MA1122.1",65,"MA1122.1",8,"65_8"
"TWIST1_MA1123.2","TWIST1_MA1123.2",53,"MA1123.2",19,"53_19"
"ZNF24_MA1124.1","ZNF24_MA1124.1",161,"MA1124.1",74,"161_74"
"FOS::JUN(var.2)_MA1126.1","FOS::JUN(var.2)_MA1126.1",58,"MA1126.1",29,"58_29"
"FOSB::JUN_MA1127.1","FOSB::JUN_MA1127.1",58,"MA1127.1",7,"58_7"
"FOSL1::JUN_MA1128.1","FOSL1::JUN_MA1128.1",16,"MA1128.1",31,"16_31"
"FOSL1::JUN(var.2)_MA1129.1","FOSL1::JUN(var.2)_MA1129.1",58,"MA1129.1",7,"58_7"
"FOSL2::JUN_MA1130.1","FOSL2::JUN_MA1130.1",16,"MA1130.1",31,"16_31"
"FOSL2::JUN(var.2)_MA1131.1","FOSL2::JUN(var.2)_MA1131.1",58,"MA1131.1",7,"58_7"
"JUN::JUNB_MA1132.1","JUN::JUNB_MA1132.1",16,"MA1132.1",31,"16_31"
"JUN::JUNB(var.2)_MA1133.1","JUN::JUNB(var.2)_MA1133.1",58,"MA1133.1",27,"58_27"
"FOS::JUNB_MA1134.1","FOS::JUNB_MA1134.1",16,"MA1134.1",31,"16_31"
"FOSB::JUNB_MA1135.1","FOSB::JUNB_MA1135.1",16,"MA1135.1",31,"16_31"
"FOSB::JUNB(var.2)_MA1136.1","FOSB::JUNB(var.2)_MA1136.1",58,"MA1136.1",9,"58_9"
"FOSL1::JUNB_MA1137.1","FOSL1::JUNB_MA1137.1",16,"MA1137.1",31,"16_31"
"FOSL2::JUNB_MA1138.1","FOSL2::JUNB_MA1138.1",16,"MA1138.1",31,"16_31"
"FOSL2::JUNB(var.2)_MA1139.1","FOSL2::JUNB(var.2)_MA1139.1",58,"MA1139.1",52,"58_52"
"JUNB(var.2)_MA1140.2","JUNB(var.2)_MA1140.2",58,"MA1140.2",7,"58_7"
"FOS::JUND_MA1141.1","FOS::JUND_MA1141.1",16,"MA1141.1",31,"16_31"
"FOSL1::JUND_MA1142.1","FOSL1::JUND_MA1142.1",16,"MA1142.1",31,"16_31"
"FOSL1::JUND(var.2)_MA1143.1","FOSL1::JUND(var.2)_MA1143.1",58,"MA1143.1",7,"58_7"
"FOSL2::JUND_MA1144.1","FOSL2::JUND_MA1144.1",16,"MA1144.1",31,"16_31"
"FOSL2::JUND(var.2)_MA1145.1","FOSL2::JUND(var.2)_MA1145.1",58,"MA1145.1",7,"58_7"
"NR1H4::RXRA_MA1146.1","NR1H4::RXRA_MA1146.1",23,"MA1146.1",25,"23_25"
"PPARA::RXRA_MA1148.1","PPARA::RXRA_MA1148.1",114,"MA1148.1",1,"114_1"
"RARA::RXRG_MA1149.1","RARA::RXRG_MA1149.1",126,"MA1149.1",49,"126_49"
"RORB_MA1150.1","RORB_MA1150.1",31,"MA1150.1",22,"31_22"
"RORC_MA1151.1","RORC_MA1151.1",31,"MA1151.1",1,"31_1"
"SOX15_MA1152.1","SOX15_MA1152.1",19,"MA1152.1",41,"19_41"
"Smad4_MA1153.1","Smad4_MA1153.1",73,"MA1153.1",17,"73_17"
"ZSCAN4_MA1155.1","ZSCAN4_MA1155.1",175,"MA1155.1",3,"175_3"
"IRF3_MA1418.1","IRF3_MA1418.1",59,"MA1418.1",6,"59_6"
"IRF4_MA1419.1","IRF4_MA1419.1",59,"MA1419.1",75,"59_75"
"TCF7L1_MA1421.1","TCF7L1_MA1421.1",101,"MA1421.1",27,"101_27"
"atf-7_MA1438.1","atf-7_MA1438.1",58,"MA1438.1",7,"58_7"
"elt-6_MA1439.1","elt-6_MA1439.1",66,"MA1439.1",9,"66_9"
"fkh-9_MA1440.1","fkh-9_MA1440.1",3,"MA1440.1",47,"3_47"
"unc-30_MA1443.1","unc-30_MA1443.1",5,"MA1443.1",4,"5_4"
"daf-16_MA1446.1","daf-16_MA1446.1",3,"MA1446.1",36,"3_36"
"fos-1_MA1448.1","fos-1_MA1448.1",16,"MA1448.1",31,"16_31"
"nhr-6_MA1451.1","nhr-6_MA1451.1",71,"MA1451.1",39,"71_39"
"dmrt99B_MA1455.1","dmrt99B_MA1455.1",22,"MA1455.1",26,"22_26"
"grh_MA1457.1","grh_MA1457.1",26,"MA1457.1",11,"26_11"
"M1BP_MA1459.1","M1BP_MA1459.1",33,"MA1459.1",1,"33_1"
"pho_MA1460.1","pho_MA1460.1",43,"MA1460.1",2,"43_2"
"sv_MA1461.1","sv_MA1461.1",50,"MA1461.1",3,"50_3"
"vfl_MA1462.1","vfl_MA1462.1",55,"MA1462.1",36,"55_36"
"ARGFX_MA1463.1","ARGFX_MA1463.1",1,"MA1463.1",27,"1_27"
"ARNT2_MA1464.1","ARNT2_MA1464.1",28,"MA1464.1",2,"28_2"
"ATF6_MA1466.1","ATF6_MA1466.1",78,"MA1466.1",37,"78_37"
"ATOH1(var.2)_MA1467.1","ATOH1(var.2)_MA1467.1",46,"MA1467.1",19,"46_19"
"ATOH7_MA1468.1","ATOH7_MA1468.1",53,"MA1468.1",19,"53_19"
"BHLHA15(var.2)_MA1472.1","BHLHA15(var.2)_MA1472.1",46,"MA1472.1",19,"46_19"
"CDX4_MA1473.1","CDX4_MA1473.1",13,"MA1473.1",29,"13_29"
"CREB3L4_MA1474.1","CREB3L4_MA1474.1",78,"MA1474.1",2,"78_2"
"DMRTA2_MA1478.1","DMRTA2_MA1478.1",39,"MA1478.1",76,"39_76"
"DMRTC2_MA1479.1","DMRTC2_MA1479.1",39,"MA1479.1",62,"39_62"
"DPRX_MA1480.1","DPRX_MA1480.1",5,"MA1480.1",4,"5_4"
"DRGX_MA1481.1","DRGX_MA1481.1",1,"MA1481.1",1,"1_1"
"ELF2_MA1483.1","ELF2_MA1483.1",24,"MA1483.1",10,"24_10"
"ETS2_MA1484.1","ETS2_MA1484.1",24,"MA1484.1",10,"24_10"
"FERD3L_MA1485.1","FERD3L_MA1485.1",46,"MA1485.1",19,"46_19"
"FOXE1_MA1487.1","FOXE1_MA1487.1",3,"MA1487.1",13,"3_13"
"FOXN3_MA1489.1","FOXN3_MA1489.1",3,"MA1489.1",36,"3_36"
"GLI3_MA1491.1","GLI3_MA1491.1",91,"MA1491.1",1,"91_1"
"HES6_MA1493.1","HES6_MA1493.1",28,"MA1493.1",43,"28_43"
"HNF4A(var.2)_MA1494.1","HNF4A(var.2)_MA1494.1",96,"MA1494.1",37,"96_37"
"HOXA1_MA1495.1","HOXA1_MA1495.1",1,"MA1495.1",1,"1_1"
"HOXB7_MA1501.1","HOXB7_MA1501.1",1,"MA1501.1",37,"1_37"
"IKZF1_MA1508.1","IKZF1_MA1508.1",24,"MA1508.1",29,"24_29"
"IRF6_MA1509.1","IRF6_MA1509.1",99,"MA1509.1",6,"99_6"
"KLF10_MA1511.1","KLF10_MA1511.1",12,"MA1511.1",54,"12_54"
"KLF11_MA1512.1","KLF11_MA1512.1",12,"MA1512.1",54,"12_54"
"KLF15_MA1513.1","KLF15_MA1513.1",12,"MA1513.1",8,"12_8"
"KLF17_MA1514.1","KLF17_MA1514.1",100,"MA1514.1",1,"100_1"
"KLF2_MA1515.1","KLF2_MA1515.1",12,"MA1515.1",14,"12_14"
"KLF3_MA1516.1","KLF3_MA1516.1",12,"MA1516.1",4,"12_4"
"KLF6_MA1517.1","KLF6_MA1517.1",12,"MA1517.1",43,"12_43"
"MAF_MA1520.1","MAF_MA1520.1",16,"MA1520.1",71,"16_71"
"MAZ_MA1522.1","MAZ_MA1522.1",12,"MA1522.1",1,"12_1"
"MSANTD3_MA1523.1","MSANTD3_MA1523.1",57,"MA1523.1",33,"57_33"
"MSGN1_MA1524.1","MSGN1_MA1524.1",53,"MA1524.1",43,"53_43"
"NFATC4_MA1525.1","NFATC4_MA1525.1",109,"MA1525.1",9,"109_9"
"NFIC(var.2)_MA1527.1","NFIC(var.2)_MA1527.1",110,"MA1527.1",38,"110_38"
"NHLH2_MA1529.1","NHLH2_MA1529.1",112,"MA1529.1",19,"112_19"
"NR1D1_MA1531.1","NR1D1_MA1531.1",113,"MA1531.1",35,"113_35"
"NR1I2_MA1533.1","NR1I2_MA1533.1",116,"MA1533.1",20,"116_20"
"NR1I3_MA1534.1","NR1I3_MA1534.1",17,"MA1534.1",1,"17_1"
"NR2C1_MA1535.1","NR2C1_MA1535.1",71,"MA1535.1",1,"71_1"
"NR2C2(var.2)_MA1536.1","NR2C2(var.2)_MA1536.1",71,"MA1536.1",1,"71_1"
"NR2F6(var.3)_MA1539.1","NR2F6(var.3)_MA1539.1",23,"MA1539.1",67,"23_67"
"NR5A1_MA1540.1","NR5A1_MA1540.1",71,"MA1540.1",67,"71_67"
"OSR1_MA1542.1","OSR1_MA1542.1",36,"MA1542.1",1,"36_1"
"OVOL1_MA1544.1","OVOL1_MA1544.1",105,"MA1544.1",22,"105_22"
"OVOL2_MA1545.1","OVOL2_MA1545.1",105,"MA1545.1",22,"105_22"
"PAX3(var.2)_MA1546.1","PAX3(var.2)_MA1546.1",119,"MA1546.1",77,"119_77"
"PITX2_MA1547.1","PITX2_MA1547.1",5,"MA1547.1",4,"5_4"
"RXRG(var.2)_MA1556.1","RXRG(var.2)_MA1556.1",127,"MA1556.1",25,"127_25"
"SNAI1_MA1558.1","SNAI1_MA1558.1",46,"MA1558.1",19,"46_19"
"SNAI3_MA1559.1","SNAI3_MA1559.1",46,"MA1559.1",19,"46_19"
"SOHLH2_MA1560.1","SOHLH2_MA1560.1",28,"MA1560.1",2,"28_2"
"SOX12_MA1561.1","SOX12_MA1561.1",19,"MA1561.1",27,"19_27"
"SOX14_MA1562.1","SOX14_MA1562.1",19,"MA1562.1",1,"19_1"
"SOX18_MA1563.1","SOX18_MA1563.1",19,"MA1563.1",41,"19_41"
"SP9_MA1564.1","SP9_MA1564.1",12,"MA1564.1",28,"12_28"
"TBX18_MA1565.1","TBX18_MA1565.1",86,"MA1565.1",1,"86_1"
"TBX6_MA1567.1","TBX6_MA1567.1",86,"MA1567.1",1,"86_1"
"TCF21(var.2)_MA1568.1","TCF21(var.2)_MA1568.1",53,"MA1568.1",19,"53_19"
"TFAP4(var.2)_MA1570.1","TFAP4(var.2)_MA1570.1",53,"MA1570.1",43,"53_43"
"TGIF2LX_MA1571.1","TGIF2LX_MA1571.1",120,"MA1571.1",1,"120_1"
"TGIF2LY_MA1572.1","TGIF2LY_MA1572.1",120,"MA1572.1",62,"120_62"
"THRB(var.2)_MA1575.1","THRB(var.2)_MA1575.1",143,"MA1575.1",1,"143_1"
"THRB(var.3)_MA1576.1","THRB(var.3)_MA1576.1",115,"MA1576.1",8,"115_8"
"VEZF1_MA1578.1","VEZF1_MA1578.1",145,"MA1578.1",14,"145_14"
"ZBTB6_MA1581.1","ZBTB6_MA1581.1",150,"MA1581.1",6,"150_6"
"ZFP57_MA1583.1","ZFP57_MA1583.1",152,"MA1583.1",1,"152_1"
"ZIC5_MA1584.1","ZIC5_MA1584.1",38,"MA1584.1",50,"38_50"
"ZKSCAN1_MA1585.1","ZKSCAN1_MA1585.1",154,"MA1585.1",38,"154_38"
"ZNF135_MA1587.1","ZNF135_MA1587.1",156,"MA1587.1",1,"156_1"
"ZNF136_MA1588.1","ZNF136_MA1588.1",157,"MA1588.1",3,"157_3"
"ZNF274_MA1592.1","ZNF274_MA1592.1",163,"MA1592.1",1,"163_1"
"ZNF382_MA1594.1","ZNF382_MA1594.1",167,"MA1594.1",67,"167_67"
"ZNF460_MA1596.1","ZNF460_MA1596.1",156,"MA1596.1",1,"156_1"
"ZNF528_MA1597.1","ZNF528_MA1597.1",171,"MA1597.1",1,"171_1"
"ZNF684_MA1600.1","ZNF684_MA1600.1",173,"MA1600.1",26,"173_26"
"ZNF75D_MA1601.1","ZNF75D_MA1601.1",48,"MA1601.1",1,"48_1"
"Ebf2_MA1604.1","Ebf2_MA1604.1",84,"MA1604.1",78,"84_78"
"Foxf1_MA1606.1","Foxf1_MA1606.1",3,"MA1606.1",18,"3_18"
"Foxl2_MA1607.1","Foxl2_MA1607.1",3,"MA1607.1",58,"3_58"
"Plagl1_MA1615.1","Plagl1_MA1615.1",122,"MA1615.1",1,"122_1"
"Prdm15_MA1616.1","Prdm15_MA1616.1",124,"MA1616.1",1,"124_1"
"Ptf1a_MA1618.1","Ptf1a_MA1618.1",53,"MA1618.1",19,"53_19"
"Ptf1a(var.2)_MA1619.1","Ptf1a(var.2)_MA1619.1",46,"MA1619.1",19,"46_19"
"Ptf1a(var.3)_MA1620.1","Ptf1a(var.3)_MA1620.1",46,"MA1620.1",19,"46_19"
"Rbpjl_MA1621.1","Rbpjl_MA1621.1",46,"MA1621.1",19,"46_19"
"Smad2::Smad3_MA1622.1","Smad2::Smad3_MA1622.1",16,"MA1622.1",74,"16_74"
"Stat2_MA1623.1","Stat2_MA1623.1",59,"MA1623.1",27,"59_27"
"Stat5b_MA1625.1","Stat5b_MA1625.1",47,"MA1625.1",1,"47_1"
"Wt1_MA1627.1","Wt1_MA1627.1",145,"MA1627.1",1,"145_1"
"Zic1::Zic2_MA1628.1","Zic1::Zic2_MA1628.1",38,"MA1628.1",50,"38_50"
"Zic2_MA1629.1","Zic2_MA1629.1",38,"MA1629.1",50,"38_50"
"Znf281_MA1630.1","Znf281_MA1630.1",145,"MA1630.1",1,"145_1"
"ASCL1(var.2)_MA1631.1","ASCL1(var.2)_MA1631.1",46,"MA1631.1",19,"46_19"
"ATF2_MA1632.1","ATF2_MA1632.1",58,"MA1632.1",7,"58_7"
"BATF_MA1634.1","BATF_MA1634.1",16,"MA1634.1",31,"16_31"
"BHLHE22(var.2)_MA1635.1","BHLHE22(var.2)_MA1635.1",46,"MA1635.1",19,"46_19"
"EBF3_MA1637.1","EBF3_MA1637.1",84,"MA1637.1",78,"84_78"
"HAND2_MA1638.1","HAND2_MA1638.1",53,"MA1638.1",19,"53_19"
"MYF5_MA1641.1","MYF5_MA1641.1",46,"MA1641.1",19,"46_19"
"NEUROG2(var.2)_MA1642.1","NEUROG2(var.2)_MA1642.1",53,"MA1642.1",19,"53_19"
"NFIB_MA1643.1","NFIB_MA1643.1",110,"MA1643.1",38,"110_38"
"NFYC_MA1644.1","NFYC_MA1644.1",37,"MA1644.1",8,"37_8"
"NKX2-2_MA1645.1","NKX2-2_MA1645.1",57,"MA1645.1",79,"57_79"
"OSR2_MA1646.1","OSR2_MA1646.1",36,"MA1646.1",41,"36_41"
"PRDM4_MA1647.1","PRDM4_MA1647.1",40,"MA1647.1",11,"40_11"
"TCF12(var.2)_MA1648.1","TCF12(var.2)_MA1648.1",46,"MA1648.1",19,"46_19"
"ZBTB12_MA1649.1","ZBTB12_MA1649.1",68,"MA1649.1",1,"68_1"
"ZBTB14_MA1650.1","ZBTB14_MA1650.1",147,"MA1650.1",2,"147_2"
"ZFP42_MA1651.1","ZFP42_MA1651.1",43,"MA1651.1",1,"43_1"
"ZNF148_MA1653.1","ZNF148_MA1653.1",12,"MA1653.1",1,"12_1"
"ZNF16_MA1654.1","ZNF16_MA1654.1",160,"MA1654.1",38,"160_38"
"ZNF341_MA1655.1","ZNF341_MA1655.1",166,"MA1655.1",26,"166_26"
"ZNF449_MA1656.1","ZNF449_MA1656.1",170,"MA1656.1",38,"170_38"
"ZNF652_MA1657.1","ZNF652_MA1657.1",32,"MA1657.1",35,"32_35"
"FOXA3_MA1683.1","FOXA3_MA1683.1",3,"MA1683.1",18,"3_18"
"ceh-38_MA1699.1","ceh-38_MA1699.1",6,"MA1699.1",37,"6_37"
"Clamp_MA1700.1","Clamp_MA1700.1",15,"MA1700.1",1,"15_1"
"elt-2_MA1701.1","elt-2_MA1701.1",66,"MA1701.1",14,"66_14"
"Pdp1_MA1702.1","Pdp1_MA1702.1",42,"MA1702.1",9,"42_9"
"pqm-1_MA1703.1","pqm-1_MA1703.1",66,"MA1703.1",43,"66_43"
"zip-8_MA1704.1","zip-8_MA1704.1",58,"MA1704.1",7,"58_7"
