0,Endo Stem Cells 1
1,Ecto Stem Cells
2,interstitial Stem Cells 1
3,early Nematoblasts
4,endo Foot/Tentacle base
5,late nematoblasts
6,early germ cells
7,mid-late neurogenesis
8,endo Stem Cells 2
9,early nematocytes
10,ecto oral-like
11,desmo-like nematoblasts
12,endo head
13,steno-like nematoblasts
14,ec2/3/4 neurons
15,spum muc gland cells
16,zymogen gland cells
17,female germ cells
18,gran muc gland cells
19,early neurogenesis/gland
20,ecto basal disk
21,desmo-like nematocytes
22,ec1/5 neurons
23,iso/steno-like nematocytes
24,en2/3 neurons
25,endo tentacle
26,en1 neurons
27,male germ cells
28,interstitial Stem Cells 2