interstitial Stem Cells 1,3
interstitial Stem Cells 2,29
early germ cells,7
female germ cells,18
male germ cells,28
early Nematoblasts,4
desmo-like nematoblasts,12
steno-like nematoblasts,14
late nematoblasts,6
early nematocytes,10
desmo-like nematocytes,22
iso/steno-like nematocytes,24
early neurogenesis/gland,20
mid-late neurogenesis,8
ec1/5 neurons,23
ec2/3/4 neurons,15
en1 neurons,27
en2/3 neurons,25
gran muc gland cells,19
spum muc gland cells,16
zymogen gland cells,17
ecto Stem Cells,1
ecto oral-like,11
ecto basal disk,21
endo Stem Cells 1,2
endo Stem Cells 2,9
endo Foot/Tentacle base,5
endo head,13
endo tentacle,26